,Unnamed: 0,questionId,questionTitle,Tags,questionBody,questionCreationDate,AcceptedAnswerId,questionViewCount,AnswerCount,CommentCount,questionScore,questionFavoriteCount,questionUserId,questionUserLocation,questionUserCreationDate,questionUserViews,answerId,answerBody,answerUserId,answerScore,answerCommentCount,commentId,commentText,,
100,2461,35771915,Find closest value in a 2d grid c#,|c#|multidimensional-array|robotics|a-star|,"<p>I have created an c# console application that is used to simulate a robot application.
I have created a 2D grid for the robot to move around:</p>
<pre><code>List&lt;List&lt;int&gt; Map;
</code></pre>
<p>The map is a 25x25 grid (to start with) and filled with the following values:</p>
<pre><code>0 = Unexplored space,
1 = Explored space,
2 = Wall, 
3 = Obstacle, 
9 = Robot
</code></pre>
<p>The robot begins in position (12,12).
I would like to be able to search this grid for the nearest Unexplored space and return that position so that I can then feed that position and the robots position to an A* search algorithm for planning.</p>
<p>What would be the most efficient method to search through the Map for said value?</p>
",3/3/2016 12:13,35772727,1525,1,2,-1,,1379704,"Hull, UK",5/7/2012 12:14,192,35772727,"<p>wrote this on a notepad so i havent tested it, but you should get an idea.
Basically get all unexplored places and sort them by the distance from current and get the first value in the list.
CalculateDistance method should implement the formula Nikola.Lukovic mentioned.</p>

<pre><code>public KeyValuePair&lt;int, int&gt; GetClosestUnexploredPosition(List&lt;List&lt;int&gt;&gt; map, int currentX, int currentY)
{
    Dictionary&lt;KeyValuePair&lt;int, int&gt;, double&gt; unexploredPlaces = new Dictionary&lt;KeyValuePair&lt;int, int&gt;, double&gt;();

    foreach (List&lt;int&gt; valueList in map)
    {
        foreach (int value in valueList)
        {
            if (value == 0)
            {
                int x = map.IndexOf(valueList);
                int y = valueList.IndexOf(value));
                if (x != currentX &amp;&amp; y != currentY)
                {
                    unexploredPlaces.Add(new KeyValuePair(x, y), CalculateDistance(currentX, currentY, x, y));
                }
            }
        }
    }

    return unexploredPlaces.OrderBy(x =&gt; x.Value).FirstOrDefault();
}
</code></pre>
",6013031,2,0,59215948,"The problem is I do not know the location of the other position. I need to search the grid for the nearest position first. 
I could use this distance formula on every '0' in the grid but I do not think that would be the most efficient way to do it.",,
108,2527,37303953,Robotics Maze Representation in C,|c|robotics|,"<p>So I'd like to represent a rectangular maze of say dimensions 5x4 (rows x columns) using a 2D array in C language. However I am having trouble specifying what actually needs to be put into the 2D array.</p>

<pre><code>int a[5][4] = {
    {},
    {},
    {},
    {},
    {}, 
};
</code></pre>

<p>Here is the skeleton of the 2D array, in each row there will be 4 values, I assume that each of these values is a single integer that tells us the properties of a cell in the maze. My problem is, is that really enough? How does a single value tell a robot weather there are 3 walls, 2 walls etc</p>

<p>Someone please enlighten me D:</p>

<p><a href=""https://i.stack.imgur.com/EojXM.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/EojXM.png"" alt=""Maze""></a></p>
",5/18/2016 15:25,,146,2,7,2,,6262982,,4/27/2016 17:54,10,37304048,"<p>use specific bits for specific properties of the room</p>

<pre><code>#define ROOM_WALL_ABOVE (1 &lt;&lt; 0)
#define ROOM_WALL_LEFT  (1 &lt;&lt; 1)
#define ROOM_WALL_BELOW (1 &lt;&lt; 2)
#define ROOM_WALL_RIGHT (1 &lt;&lt; 3)
#define ROOM_DOOR       (1 &lt;&lt; 4)

int a[5][4] = {0};
a[0][0] = ROOM_WALL_ABOVE | ROOM_WALL_LEFT;

if (a[x][y] &amp; ROOM_WALL_RIGHT) printf(""Cannot walk right.\n"");
</code></pre>
",25324,7,5,62130226,"@EugeneSh. For sure, as pmg already answered.",,
110,2546,37739705,BAM(Bidirectional Associative Memory),|neural-network|artificial-intelligence|robotics|recurrent-neural-network|biological-neural-network|,"<p>Suppose [1 0 0 1 0 1] &lt;--> [0 0 0 1], this is a association then in implementing BAM, why we convert 0 to -1 and then calculate weight matrix.</p>
",6/10/2016 4:05,,781,2,0,0,,4520795,"Bengaluru, India",2/2/2015 16:33,61,39056391,"<p>The fundamental reason why 0 are unsuitable for BAM storage is that 0's in binary patterns are ignored when added, but -1's in bipolar patterns are not: 1+0=1 but 1+(-1)=0. If the numbers are matrix entries that represent synaptic strengths, then multiplying and ass in binary quantities can only produce excitatory connections. </p>

<p>Meanwhile multiplying and add in bipolar quantities produces excitatory and inhibitory connections. The connections strengths represent the frequency of excitatory and inhibitory connections int the individual correlation matrices.</p>

<p>Refer:</p>

<ul>
<li><a href=""http://sipi.usc.edu/~kosko/BAM.pdf"" rel=""nofollow"">http://sipi.usc.edu/~kosko/BAM.pdf</a> ""Bidirectional Associative Memory, Bart Kosko""</li>
</ul>
",1600172,1,0,,,,
117,2507,36925245,Exporting Nao robot Simulator in Unity3D,|unity-game-engine|robot|,"<p>I'm using the Coregraphe 2.1.4 software as simulator, I'd like to export this simulator into Unity 3D in order to make a videogame where people can interact and play with Nao.</p>

<p>I've successfully exported the model of the Robot in Unity but i can not animate it.</p>

<p>Is it possible to export the Nao robot simulator in Unity3D? Or, are there other way to run the simulator in Unity3D?</p>

<p>Thank :)</p>
",4/28/2016 20:53,36925445,624,1,1,1,,6268708,,4/28/2016 20:39,14,36925445,"<blockquote>
  <p>I've successfully exported the model of the Robot in Unity but i can
  not animate it.</p>
</blockquote>

<p>Export it to a 3D software such as Maya or Blender, then animate it there and import the 3D model and the animation back to Unity. Blender is free. You just need to learn animation. </p>

<blockquote>
  <p>Is it possible to export the Nao robot simulator in Unity3D?</p>
</blockquote>

<p>No. You can't export a software to Unity. If the company that made it produced a DLL plugin for Unity then you can. They don't have plugin for Unity, so you can't.</p>

<blockquote>
  <p>are there other way to run the simulator in Unity3D?</p>
</blockquote>

<p>No. All the answer to your questions are No, No and No. Although, you can animate your 3D model in a 3D software then import into Unity.</p>
",3785314,0,13,61415836,"To be honest it sounds like you've stolen the ""Nao"" 3D model from their software! That's just a commercial product isn't it? It's not in the slightest available for open source, or anything like that - unless I'm mistaken.",,
123,2968,47727674,How to connect keyboard arrows with robotino sim and view?,|c#|mqtt|robotics|,"<p>So I have a project to do, which is to connect a Robotino view with a Robotino Sim, and also connect to a C# client program to <strong>move the Robotino in the View with the arrows on the keyboard</strong>. </p>

<p>The C# client is supposed to send the data about pressing the arrow buttons 4 times per second through cloud MQTT.</p>

<p>So far I connected the View with the Sim, added some basic navigator ( on which you click and the robot moves), but I have no idea how to do the rest.</p>

<p>I also found this cloud MQTT .Net thingy, but it just doesn't speak to me.
<a href=""https://www.cloudmqtt.com/docs-dotnet.html"" rel=""nofollow noreferrer"">https://www.cloudmqtt.com/docs-dotnet.html</a></p>

<p>I would really appreciate if someone could help me with this issue, since I found nothing really useful, only this video (basically that is what I want to do ), which has no description but the project is working for him.
<a href=""https://www.youtube.com/watch?v=gmKyFNLWv_A&amp;t=11s"" rel=""nofollow noreferrer"">https://www.youtube.com/watch?v=gmKyFNLWv_A&amp;t=11s</a></p>
",12/9/2017 10:40,,116,0,2,0,,8934727,"Dunaújváros, Hungary",11/13/2017 19:06,6,,,,,,82437476,"Stack Overflow doesn't work this way. You have to try yourself, then when you get stuck, you show us what you have done, explain how it doesn't work and somebody will help you fix it.",,
129,2900,46398319,Simultaneous Localization and Mapping(SLAM) simulation,|artificial-intelligence|robotics|,"<p>I am planning to do a project on Simultaneous Localization and Mapping(SLAM) using simulation since I am completely new to robotics I have no idea where to start and how to proceed.Please do help me to begin my work and I need some references for the tutorial. </p>
",9/25/2017 5:45,46425576,383,1,0,0,,6813937,,9/9/2016 14:16,15,46425576,"<p>I would suggest you to use <a href=""http://www.ros.org"" rel=""nofollow noreferrer"">Robot Operating System (ROS)</a>. It has good development tools and the algorithms for SLAM and planning already available. You can start with <a href=""http://wiki.ros.org/kinetic/Installation"" rel=""nofollow noreferrer"">installing ROS</a> followed by <a href=""http://wiki.ros.org/ROS/Tutorials"" rel=""nofollow noreferrer"">ROS tutorials</a>.</p>
",1595504,2,0,,,,
141,2802,44620509,Robot Motion - Dynamic Programming,|c++|dynamic-programming|robotics|,"<p>Given a 1D world of infinite length (x),
and available moves (y) of, for example [1, 2, 3, -1, -2, -3],
and a destination (d) (ie 15), write a function that returns
the smallest number of moves (result) needed to reach d.</p>

<p>For example if d = 15, result = 5
since the most optimal move is 3, and it can be done 5 times.</p>

<p>This problem is very similar to this: <a href=""https://www.youtube.com/watch?v=Y0ZqKpToTic"" rel=""nofollow noreferrer"">https://www.youtube.com/watch?v=Y0ZqKpToTic</a> 
except that negative values are allowed.</p>

<p>I have the code below that only works for positive number. Any ideas to make it work for mixed positive and negative values?</p>

<pre><code>class Solution {
public:
    int Robotmotion(vector&lt;int&gt; &amp;moves, int &amp;d) {
        if (d == 0) return 0;
        if (d &lt; 0) {
            d = -d;
            for (auto &amp;move : moves) move *= -1;
        }

        sort(moves.begin(), moves.end());

        vector&lt;int&gt; dp(d + 1, d + 1);

        dp[0] = 0;

        for (int i = 1; i &lt;= d; i++) {
            for (int j = 0; j &lt; moves.size(); j++) {
                if (moves[j] &lt;= i) {
                    dp[i] = min(dp[i], dp[i - moves[j]] + 1);
                }
            }
        }

        return dp[d] == d + 1 ? -1 : dp[d];
    }
};



int main() {

    Solution s;
    vector&lt;int&gt; moves = {1,2,3};
    int d = 15;
    int min_steps = s.Robotmotion(moves, d);
    cout &lt;&lt; ""Mim steps:"" &lt;&lt; endl &lt;&lt; min_steps &lt;&lt; endl;
    return 0;
}
</code></pre>
",6/18/2017 23:35,,277,1,6,0,,1527457,,7/15/2012 20:59,59,44627727,"<p>I don't think dynamic programming can solve the problem. Instead, you should view the number as vertices in a graph and use BFS to solve the problem. You can even use a bidirectional BFS to speed up the process.</p>
",4017815,0,0,76228645,Is it legal to overshoot and backtrack? As in if you can move 10 and then -1 instead of having to got 3 three times?,,
143,3116,50060927,"how to use ""robotlocomotion drake"" codes in my project, for example ""qp_inverse_dynamics""",|installation|open-source|robotics|drake|,"<p>i want to implement drake in my project, but i found it almost impossible. 
Although there are notebooks and course explain robotics theory and how drake works, 
<a href=""http://underactuated.csail.mit.edu/underactuated.html?chapter=drake"" rel=""nofollow noreferrer"">http://underactuated.csail.mit.edu/underactuated.html?chapter=drake</a>
<a href=""https://www.edx.org/course/underactuated-robotics-mitx-6-832x-0"" rel=""nofollow noreferrer"">https://www.edx.org/course/underactuated-robotics-mitx-6-832x-0</a></p>

<p>But how could i use the codes in drake in my project. For example, i want to simulate a 6-Dof arm using V-rep and ROS, and i want to inplement force control to the arm using ""qp_inverse_dynamics"" in drake, do i need to include all files that ""qp_inverse_dynamics"" used, and construct the build system? There are tons of files.</p>

<p>I have made a quadruped robot using position control and PID controller, and have a little bit experience of using open source convex quadratic programs solver(osqp)。
And now, after build and tested drake using bazel, what coule I do to use codes in drake in my project? Or should I just write my own codes using the method in Underactuated Robotics notebook?</p>

<p>thanks a lot.</p>
",4/27/2018 10:56,50075307,398,1,0,1,,9708755,,4/27/2018 6:35,34,50075307,"<p>This repository is our working example of how to use drake in your own project:<br>
<a href=""https://github.com/RobotLocomotion/drake-shambhala"" rel=""nofollow noreferrer"">https://github.com/RobotLocomotion/drake-shambhala</a></p>

<p>We do support OSQP as one of many solver backends.  There is a chance that you will find that you want some feature in drake that is not yet exposed in the binary installation, in which case please make a request on github.  But I suspect it should work well for you.</p>

<p>N.B.  The lectures you've pointed to on edX are a few years old now.  The current version of the course is running right now, with streamed/recorded lectures available at <a href=""http://underactuated.csail.mit.edu/Spring2018/index.html#textbook/assignments/videos"" rel=""nofollow noreferrer"">http://underactuated.csail.mit.edu/Spring2018/index.html#textbook/assignments/videos</a></p>
",9510020,2,1,,,,
146,3001,48302877,My inverse compositional homograhy image align cannot converge?,|c++|computer-vision|robotics|,"<p>I implement the algorithm based on <a href=""https://github.com/albertoCrive/homographyTrackingDemo"" rel=""nofollow noreferrer"">homographyTrackingDemo</a> and <a href=""http://www.ncorr.com/download/publications/bakerunify.pdf"" rel=""nofollow noreferrer"">LK-20-years</a>. It's adaption of inverse compositional LK algorithm for estimating affine transformation. There are several steps I have tried: </p>

<ol>
<li><p>Derive the derivative of template image;</p></li>
<li><p>Derive the derivative of homography transformation on template control points at identity transformation</p></li>
<li>Compute the Steepest Gradient Matrix and Hessian matrix</li>
</ol>

<p>These steps are precomputed before stepping into iteration and we iterate:</p>

<ol>
<li>Warp target image by homography</li>
<li>Compute the difference between warped target image and template image</li>
<li>Solve the linear equations and then update homography parameters</li>
</ol>

<p>I hope some guy can give me a hint about whether my understanding about this algorithm is wrong. The c++ code is as follows:</p>

<pre><code>AlignmentResults ICA::GaussNewtonMinimization(const StructOfArray2di &amp; pixelsOnTemplate, const vector&lt;Mat&gt; &amp; images, const vector&lt;Mat&gt; &amp; templates, const OptimizationParameters optParam, vector&lt;float&gt; &amp; parameters)
{
    AlignmentResults alignmentResults;
    alignmentResults.nIter = 0;
    alignmentResults.exitFlag = 1e6;

    //parameters must contain the initial guess. It is updated during optimization
    uint nChannels(images.size());
    vector&lt;vector&lt;float&gt; &gt; templatePixelIntensities(nChannels,vector&lt;float&gt;(pixelsOnTemplate.size()));//, templatePixelDx(nChannels,vector&lt;float&gt;(pixelsOnTemplate.size())), templatePixelDy(nChannels,vector&lt;float&gt;(pixelsOnTemplate.size()));
    vector&lt;Mat&gt; imageDx(nChannels), imageDy(nChannels);
    uint nParam = parameters.size();

    //vector&lt;Eigen::Matrix&lt;float, 2, N_PARAM&gt;, Eigen::aligned_allocator&lt;Eigen::Matrix&lt;float, 2, N_PARAM&gt; &gt; &gt; warpJacobians(pixelsOnTemplate.size());

    Eigen::MatrixXf sdImages(pixelsOnTemplate.size(), nParam);
    vector&lt;float&gt;  errorImage(pixelsOnTemplate.size(), 0.0);

    StructOfArray2di warpedPixels;
    Eigen::Matrix&lt;float, N_PARAM, N_PARAM&gt; hessian;
    Eigen::Matrix&lt;float, N_PARAM, N_PARAM&gt; hessianInv;
    hessian.setZero();


    std::vector&lt;Eigen::Matrix&lt;float, N_PARAM, N_PARAM&gt;, Eigen::aligned_allocator&lt;Eigen::Matrix&lt;float, N_PARAM, N_PARAM&gt;&gt;&gt; hessians(nChannels);
    std::vector&lt;Eigen::MatrixXf&gt; JacosT(nChannels);
    Eigen::Matrix&lt;float, N_PARAM, 1&gt; rhs;
    Eigen::Matrix&lt;float, N_PARAM, 1&gt; deltaParam;

    std::vector&lt;float&gt; zeroPara(8, 0.);
#pragma omp parallel for
    for(int iChannel = 0; iChannel&lt;nChannels; ++iChannel)
    {
        ComputeImageDerivatives(templates[iChannel], imageDx[iChannel], imageDy[iChannel]);
        hessians[iChannel].setZero();
        JacosT[iChannel] = Eigen::MatrixXf(N_PARAM, pixelsOnTemplate.size());

        for(int iPoint = 0; iPoint &lt; pixelsOnTemplate.size(); ++iPoint)
        {
            int pos = templates[iChannel].cols * pixelsOnTemplate.y[iPoint] + pixelsOnTemplate.x[iPoint];
            templatePixelIntensities[iChannel][iPoint] = ((float*)templates[iChannel].data)[pos];

            float Dx = ((float*)imageDx[iChannel].data)[pos];
            float Dy = ((float*)imageDy[iChannel].data)[pos];
            //printf(""%f %f\n"", Dx, Dy);
            Eigen::Matrix&lt;float, 2, N_PARAM&gt; warpJ;
            Homography::ComputeWarpJacobian(pixelsOnTemplate.x[iPoint], pixelsOnTemplate.y[iPoint], zeroPara, warpJ);
            //std::cout &lt;&lt; warpJ &lt;&lt; std::endl;
            Eigen::Matrix&lt;float, 1, N_PARAM&gt; J2H;
            Eigen::Matrix&lt;float, 1, 2&gt; ID;
            ID[0] = Dx;
            ID[1] = Dy;
            J2H = ID*warpJ;

            JacosT[iChannel].col(iPoint) = J2H.transpose();
            hessians[iChannel] += JacosT[iChannel].col(iPoint) * J2H;
        }
        hessian += hessians[iChannel];
    }

    while (alignmentResults.exitFlag == 1e6)
    {
        rhs.setZero();

        ComputeWarpedPixels(pixelsOnTemplate, parameters, warpedPixels);

#pragma omp parallel for
        for(int iChannel = 0; iChannel&lt;images.size(); ++iChannel)
        {
            ComputeResiduals(images[iChannel], templatePixelIntensities[iChannel], warpedPixels, errorImage);
            for (int i = 0; i&lt;nParam; ++i)
            {
                for(uint iPoint(0); iPoint&lt;pixelsOnTemplate.size(); ++iPoint)
                {
                    float val = (errorImage[iPoint] == std::numeric_limits&lt;float&gt;::infinity() ? 0: errorImage[iPoint]); 
                    rhs(i,0) -= (JacosT[iChannel])(i, iPoint) * val;
                }
            }
        }


        deltaParam = hessian.fullPivLu().solve(rhs);

        std::vector&lt;float&gt; vDelta(8, 0.), invDelta(8, 0.);
        for(size_t i = 0; i&lt;N_PARAM; ++i)
        {
            vDelta[i] = deltaParamd(i,0);
        }

        Homography::InverseWarpParameters(vDelta, invDelta);
        parameters = Homography::ParametersUpdateCompositional(parameters, invDelta);


        alignmentResults.poseIntermediateGuess.push_back(parameters);
        alignmentResults.residualNorm.push_back(ComputeResidualNorm(errorImage));
        if(alignmentResults.nIter &gt; 0)
            alignmentResults.exitFlag = CheckConvergenceOptimization(deltaParam.norm(), alignmentResults.nIter, abs(alignmentResults.residualNorm[alignmentResults.nIter] - alignmentResults.residualNorm[alignmentResults.nIter-1]), optParam);
        alignmentResults.nIter++;

    return alignmentResults;
}
</code></pre>
",1/17/2018 13:57,,150,0,1,1,,6409227,,6/1/2016 11:01,3,,,,,,83599710,"You should post your images, and visually show the initial solution and the final solution. This is an iterative optimization that can easily get stuck in a local minimum if your initial solution is far from the true solution.",,
151,3135,50750013,Jackal simulation in ROS kinetic - getting the error: bash: cd: jackal_ws: No such file or directory,|bash|simulation|ros|robotics|,"<p>I'm trying to simulate the Jackal via ROS Kinetic on Gazebo following this tutorial, <a href=""https://gist.github.com/vfdev-5/57a0171d8f5697831dc8d374839bca12"" rel=""nofollow noreferrer"">https://gist.github.com/vfdev-5/57a0171d8f5697831dc8d374839bca12</a></p>

<p>I have done the following steps:</p>

<pre><code>sudo apt-get install ros-kinetic-robot-localization ros-kinetic-controller-manager ros-kinetic-joint-state-controller ros-kinetic-diff-drive-controller ros-kinetic-gazebo-ros ros-kinetic-gazebo-ros-control ros-kinetic-gazebo-plugins             ros-kinetic-lms1xx ros-kinetic-pointgrey-camera-description ros-kinetic-roslint ros-kinetic-amcl ros-kinetic-gmapping      ros-kinetic-map-server ros-kinetic-move-base ros-kinetic-urdf ros-kinetic-xacro ros-kinetic-message-runtime ros-kinetic-topic-tools ros-kinetic-teleop-twist-joy    
</code></pre>

<p>and</p>

<pre><code>mkdir -p jackal_ws/src; cd jackal_ws/src; catkin_init_workspace
git clone https://github.com/jackal/jackal.git
git clone https://github.com/jackal/jackal_simulator.git
git clone https://github.com/jackal/jackal_desktop.git
git clone https://github.com/ros-visualization/interactive_marker_twist_server.git
</code></pre>

<p>After the above step, I got: </p>

<pre><code>bash: cd: jackal_ws: No such file or directory
</code></pre>

<p>Then, I did the next step below:</p>

<pre><code>cd jackal_ws; catkin_make; source devel/setup.bash
</code></pre>

<p>After the above step, I got: </p>

<pre><code>bash: cd: jackal_ws: No such file or directory  
Base path: /home/USER/jackal_ws/src  
The specified source space ""/home/USER/jackal_ws/src/src"" does not exist   
bash: devel/setup.bash: No such file or directory
</code></pre>

<p>What have I done wrong?</p>

<hr>

<p>I redid the steps separately, and here is what I get in the terminal: </p>

<p>user@user:~$ sudo apt-get install ros-kinetic-robot-localization ros-kinetic-controller-manager ros-kinetic-joint-state-controller ros-kinetic-diff-drive-controller ros-kinetic-gazebo-ros ros-kinetic-gazebo-ros-control ros-kinetic-gazebo-plugins             ros-kinetic-lms1xx ros-kinetic-pointgrey-camera-description ros-kinetic-roslint ros-kinetic-amcl ros-kinetic-gmapping      ros-kinetic-map-server ros-kinetic-move-base ros-kinetic-urdf ros-kinetic-xacro ros-kinetic-message-runtime ros-kinetic-topic-tools ros-kinetic-teleop-twist-joy</p>

<p>[sudo] password for user: </p>

<p>E: Could not get lock /var/lib/dpkg/lock - open (11: Resource temporarily unavailable)</p>

<p>E: Unable to lock the administration directory (/var/lib/dpkg/), is another process using it?</p>

<p>user@user:~$ sudo rm /var/lib/dpkg/lock</p>

<p>user@user:~$ sudo dpkg --configure -a</p>

<p>dpkg: error: dpkg status database is locked by another process</p>

<p>user@user:~$ sudo apt-get install ros-kinetic-robot-localization ros-kinetic-controller-manager ros-kinetic-joint-state-controller ros-kinetic-diff-drive-controller ros-kinetic-gazebo-ros ros-kinetic-gazebo-ros-control ros-kinetic-gazebo-plugins             ros-kinetic-lms1xx ros-kinetic-pointgrey-camera-description ros-kinetic-roslint ros-kinetic-amcl ros-kinetic-gmapping      ros-kinetic-map-server ros-kinetic-move-base ros-kinetic-urdf ros-kinetic-xacro ros-kinetic-message-runtime ros-kinetic-topic-tools ros-kinetic-teleop-twist-joy</p>

<p>E: Could not get lock /var/lib/dpkg/lock - open (11: Resource temporarily unavailable)</p>

<p>E: Unable to lock the administration directory (/var/lib/dpkg/), is another process using it?</p>

<p>user@user:~$ mkdir -p jackal_ws/src</p>

<p>user@user:~$ cd jackal_ws/src</p>

<p>user@user:~/jackal_ws/src$ catkin_init_workspace</p>

<p>File ""/home/user/jackal_ws/src/CMakeLists.txt"" already </p>

<p>existsuser@user:~/jackal_ws/src$ git clone </p>

<p><a href=""https://github.com/jackal/jackal"" rel=""nofollow noreferrer"">https://github.com/jackal/jackal</a>. </p>

<p>fatal: destination path 'jackal' already exists and is not an empty directory.</p>

<p>user@user:~/jackal_ws/src$ git clone </p>

<p><a href=""https://github.com/jackal/jackal_simulator.git"" rel=""nofollow noreferrer"">https://github.com/jackal/jackal_simulator.git</a></p>

<p>fatal: destination path 'jackal_simulator' already exists and is not an empty directory.</p>

<p>user@user:~/jackal_ws/src$ git clone </p>

<p><a href=""https://github.com/jackal/jackal_desktop.git"" rel=""nofollow noreferrer"">https://github.com/jackal/jackal_desktop.git</a></p>

<p>fatal: destination path 'jackal_desktop' already exists and is not an empty directory.</p>

<p>user@user:~/jackal_ws/src$ git clone <a href=""https://github.com/ros-visualization/interactive_marker_twist_server.git"" rel=""nofollow noreferrer"">https://github.com/ros-visualization/interactive_marker_twist_server.git</a></p>

<p>fatal: destination path 'interactive_marker_twist_server' already exists and is not an empty directory.</p>

<p>user@user:~/jackal_ws/src$ cd jackal_ws</p>

<p>bash: cd: jackal_ws: No such file or directory</p>
",6/7/2018 20:54,,467,0,7,0,,9841724,,5/24/2018 14:49,8,,,,,,88533311,"@thatotherguy, I redid the steps, but after the line (cd jackal_ws), I get the error: bash: cd: jackal_ws: No such file or directory.",,
160,3072,49674179,Understanding Inverse Kinematics pybullet,|robotics|bulletphysics|inverse-kinematics|,"<p>I'm trying to do <strong>cartesian control</strong> with a simulated PR2 robot in <strong>pybullet</strong>.
In pybullet, the function <em>calculateInverseKinematics(...)</em> optionally takes joint lower limits, upper limits, joint ranges and rest poses in order to do null space control. </p>

<p>First of all, what practical benefit do you get using null space control instead of ""regular"" inverse kinematics? </p>

<p>Secondly, why do you need to specify joint ranges, isn't that fully determined by the lower and upper limits? What is the range of a continuous joint? </p>

<p>What exactly are rest poses? Is it just the initial pose before the robot starts to do a task?</p>
",4/5/2018 13:55,,6633,1,0,6,0,3925668,,8/9/2014 18:44,8,49769256,"<p>There are often many solutions to the Inverse Kinematics problem. Using the null space allows you to influence the IK solution, for example closer to a rest pose.</p>

<p>By default, the PyBullet IK doesn't use the limits from the URDF file, hence you can explicitly specify the desired ranges for the IK solution. A continuous joint has the full 360 degree range.</p>

<p>Check the <a href=""https://docs.google.com/document/d/10sXEhzFRSnvFcl3XxNGhnD4N2SedqwdAvK3dsihxVUA/edit#"" rel=""nofollow noreferrer"">PyBullet</a> user manual and there are several examples how to use inverse kinematics with PyBullet:</p>

<p><a href=""https://github.com/bulletphysics/bullet3/tree/master/examples/pybullet/examples"" rel=""nofollow noreferrer"">https://github.com/bulletphysics/bullet3/tree/master/examples/pybullet/examples</a>
(just use git checkout <a href=""https://github.com/bulletphysics/bullet3"" rel=""nofollow noreferrer"">https://github.com/bulletphysics/bullet3</a> and go to examples/pybullet/examples)</p>

<p>There is also an additional PyBullet IK example for the Sawyer robot here:
<a href=""https://github.com/erwincoumans/pybullet_robots"" rel=""nofollow noreferrer"">https://github.com/erwincoumans/pybullet_robots</a></p>
",295157,1,1,,,,
